respondent_id,rok_ankiety,stan,plec,grupa_wiekowa,plec_wiek,edukacja,stan_cywilny,syt_mieszkaniowa,dochod_roczny,status_zatrudnienia,liczba_dzieci,trudnosc_z_rachunkami,sklonnosc_do_ryzyka,ma_fund_awaryjny,liczyl_oszcz_emerytalne,pytal_o_porade_inwest,ma_konto_oszczednosciowe,inwestuje_poza_emerytura
2009017402,2009,Pennsylvania,Female,18-24,Female 18-24,High school graduate,Single,Only adult in household,$75k - $100k,Full-time,0,Somewhat difficult,9.0,True,True,False,True,False
2009017403,2009,Arizona,Female,25-34,Female 25-34,Post graduate education,Married,Live with spouse/partner,$35k - $50k,Full-time,3+,Somewhat difficult,4.0,False,True,False,True,False
2009017404,2009,Kansas,Female,25-34,Female 25-34,College graduate,Single,Only adult in household,$50k - $75k,Full-time,0,Somewhat difficult,7.0,False,False,True,False,False
2009017405,2009,Utah,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,"< $15,000",Part-time,0,Somewhat difficult,2.0,False,False,False,True,False
2009017406,2009,Georgia,Female,65+,Female 65+,Some college,Married,Live with spouse/partner,$35k - $50k,Retired,0,Very difficult,1.0,False,,True,True,False
2009017407,2009,South Dakota,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$25k - $35k,Unemployed,1,Somewhat difficult,2.0,False,False,True,True,False
2009017408,2009,Mississippi,Female,25-34,Female 25-34,High school graduate,Single,Live in parents' home,"< $15,000",Part-time,0,Somewhat difficult,3.0,True,True,False,True,False
2009017409,2009,Mississippi,Female,35-44,Female 35-44,Some college,Single,Only adult in household,$35k - $50k,Homemaker,2,Very difficult,1.0,False,False,False,False,False
2009017410,2009,Wyoming,Female,25-34,Female 25-34,Some college,Single,Live with spouse/partner,$75k - $100k,Homemaker,0,Somewhat difficult,5.0,False,False,True,False,False
2009017411,2009,Mississippi,Female,45-54,Female 45-54,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,0,Somewhat difficult,7.0,False,False,True,True,True
2009017412,2009,Nebraska,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$25k - $35k,Full-time,2,Very difficult,,False,False,False,True,False
2009017413,2009,New Hampshire,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$35k - $50k,Homemaker,0,Somewhat difficult,5.0,False,False,False,False,False
2009017414,2009,Montana,Female,35-44,Female 35-44,Some college,Divorced,Only adult in household,$50k - $75k,Full-time,1,Not at all difficult,4.0,False,True,True,False,False
2009017415,2009,Wyoming,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$50k - $75k,Full-time,1,Not at all difficult,7.0,False,False,False,True,True
2009017416,2009,Maine,Male,35-44,Male 35-44,Some college,Divorced,Live with other family/friends,$15k - $25k,Part-time,0,Not at all difficult,8.0,,False,False,True,False
2009017417,2009,Rhode Island,Female,35-44,Female 35-44,College graduate,Married,Live with spouse/partner,$50k - $75k,Homemaker,3+,Not at all difficult,1.0,True,False,False,True,False
2009017418,2009,Vermont,Female,25-34,Female 25-34,High school graduate,Married,Live with spouse/partner,$15k - $25k,Full-time,3+,Somewhat difficult,7.0,False,False,False,True,False
2009017419,2009,Pennsylvania,Female,65+,Female 65+,Some college,Single,Only adult in household,$25k - $35k,Retired,0,Somewhat difficult,5.0,False,,True,True,True
2009017420,2009,Nebraska,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$15k - $25k,Full-time,0,Not at all difficult,6.0,True,False,True,True,False
2009017421,2009,Vermont,Female,35-44,Female 35-44,College graduate,Married,Live with spouse/partner,$50k - $75k,Homemaker,2,Very difficult,3.0,False,False,True,True,False
2009017422,2009,Hawaii,Female,35-44,Female 35-44,High school graduate,Single,Only adult in household,$25k - $35k,Full-time,0,Very difficult,3.0,False,False,False,True,False
2009017423,2009,Alabama,Female,45-54,Female 45-54,Did not complete high school,Divorced,Only adult in household,"< $15,000",Unemployed,1,Very difficult,1.0,False,False,False,True,False
2009017424,2009,Georgia,Female,25-34,Female 25-34,Some college,Single,Live in parents' home,$150k or more,Student,1,Very difficult,1.0,False,False,False,False,False
2009017425,2009,Hawaii,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$75k - $100k,Full-time,2,Very difficult,5.0,False,False,False,True,False
2009017426,2009,Alabama,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,2,Somewhat difficult,1.0,True,False,True,True,False
2009017427,2009,Vermont,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$50k - $75k,Full-time,0,Somewhat difficult,4.0,False,False,False,True,False
2009017428,2009,North Carolina,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,2,Somewhat difficult,6.0,False,False,False,True,False
2009017429,2009,New Mexico,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$50k - $75k,Unemployed,2,Very difficult,3.0,False,True,False,False,False
2009017430,2009,Nevada,Female,25-34,Female 25-34,Some college,Single,Live with spouse/partner,$50k - $75k,Full-time,3+,Not at all difficult,5.0,False,True,False,True,False
2009017431,2009,Hawaii,Male,35-44,Male 35-44,High school graduate,Single,Live with spouse/partner,$15k - $25k,Unemployed,3+,Very difficult,1.0,False,True,False,False,False
2009017432,2009,Rhode Island,Female,35-44,Female 35-44,College graduate,Married,Live with spouse/partner,$25k - $35k,Homemaker,1,Very difficult,4.0,False,False,False,True,True
2009017433,2009,North Carolina,Female,25-34,Female 25-34,College graduate,Divorced,Only adult in household,$25k - $35k,Full-time,2,Somewhat difficult,1.0,True,False,False,True,False
2009017434,2009,North Dakota,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$50k - $75k,Full-time,3+,Somewhat difficult,2.0,False,False,False,True,False
2009017435,2009,Maine,Female,25-34,Female 25-34,Post graduate education,Single,Live in parents' home,$35k - $50k,Full-time,0,Very difficult,4.0,False,False,True,True,False
2009017436,2009,Maine,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$35k - $50k,Full-time,2,Somewhat difficult,7.0,False,True,True,True,True
2009017437,2009,New Hampshire,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,2,Very difficult,4.0,False,False,False,True,False
2009017438,2009,South Dakota,Female,18-24,Female 18-24,Did not complete high school,Married,Live with spouse/partner,$25k - $35k,Full-time,2,Very difficult,3.0,False,False,False,False,
2009017439,2009,Montana,Female,25-34,Female 25-34,College graduate,Married,Live with spouse/partner,$35k - $50k,Full-time,1,Somewhat difficult,4.0,False,True,,True,
2009017440,2009,Delaware,Female,25-34,Female 25-34,Some college,Single,Only adult in household,$25k - $35k,Full-time,3+,Somewhat difficult,6.0,False,False,False,True,False
2009017441,2009,Iowa,Female,25-34,Female 25-34,High school graduate,Married,Live with other family/friends,$50k - $75k,Homemaker,3+,Somewhat difficult,1.0,True,True,False,True,
2009017442,2009,Maine,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,$35k - $50k,Homemaker,2,Somewhat difficult,4.0,True,False,False,True,False
2009017443,2009,Nebraska,Female,25-34,Female 25-34,Some college,Single,Live with spouse/partner,$25k - $35k,Unemployed,3+,Somewhat difficult,6.0,False,False,False,True,False
2009017444,2009,Idaho,Male,25-34,Male 25-34,College graduate,Married,Live with spouse/partner,"< $15,000",Unemployed,0,Very difficult,4.0,False,False,True,True,False
2009017445,2009,West Virginia,Female,18-24,Female 18-24,Some college,Single,Live with other family/friends,$15k - $25k,Student,1,Somewhat difficult,10.0,True,False,True,True,False
2009017446,2009,Mississippi,Female,18-24,Female 18-24,Did not complete high school,Married,Live with spouse/partner,$15k - $25k,Homemaker,2,Very difficult,1.0,False,False,False,False,False
2009017447,2009,Mississippi,Male,35-44,Male 35-44,Some college,Married,Live with spouse/partner,$35k - $50k,Full-time,3+,Not at all difficult,1.0,True,True,True,True,True
2009017448,2009,Montana,Female,35-44,Female 35-44,High school graduate,Married,Live with spouse/partner,$35k - $50k,Homemaker,2,Somewhat difficult,2.0,False,False,False,False,False
2009017449,2009,Hawaii,Female,25-34,Female 25-34,Some college,Single,Only adult in household,$25k - $35k,Full-time,2,Somewhat difficult,5.0,False,True,True,True,True
2009017450,2009,Hawaii,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,0,Not at all difficult,5.0,False,False,False,True,True
2009017451,2009,Virginia,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,$50k - $75k,Full-time,1,Very difficult,,False,False,False,False,False
2009017452,2009,Nebraska,Male,18-24,Male 18-24,Some college,Single,Live with other family/friends,"< $15,000",Student,1,Very difficult,1.0,False,False,True,False,False
2009017453,2009,Louisiana,Female,18-24,Female 18-24,High school graduate,Married,Live with spouse/partner,$50k - $75k,Full-time,0,Somewhat difficult,2.0,False,,False,True,
2009017454,2009,Rhode Island,Female,35-44,Female 35-44,Some college,Married,Only adult in household,$35k - $50k,Full-time,2,Very difficult,5.0,False,False,False,True,True
2009017455,2009,New Mexico,Female,35-44,Female 35-44,College graduate,Married,Live with spouse/partner,$75k - $100k,Homemaker,3+,Somewhat difficult,6.0,False,True,False,True,
2009017456,2009,New Jersey,Female,25-34,Female 25-34,High school graduate,Single,Live with other family/friends,$25k - $35k,Full-time,2,Somewhat difficult,3.0,False,False,False,False,False
2009017457,2009,Alabama,Female,25-34,Female 25-34,College graduate,Single,Live with other family/friends,$35k - $50k,Full-time,0,Not at all difficult,5.0,True,True,False,True,True
2009017458,2009,Wyoming,Female,25-34,Female 25-34,High school graduate,Married,Live with spouse/partner,$100k - $150k,Homemaker,3+,Somewhat difficult,1.0,False,False,False,False,False
2009017459,2009,Mississippi,Female,25-34,Female 25-34,Some college,Married,Live with spouse/partner,$35k - $50k,Full-time,2,Not at all difficult,,False,False,False,True,False
2009017460,2009,Arkansas,Female,18-24,Female 18-24,College graduate,Single,Live in parents' home,"< $15,000",Part-time,0,Not at all difficult,3.0,False,False,False,False,False
2009017461,2009,Nebraska,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$75k - $100k,Part-time,3+,Not at all difficult,8.0,False,True,False,True,True
2009017462,2009,Minnesota,Female,55-64,Female 55-64,Post graduate education,Single,Live with other family/friends,$50k - $75k,Retired,0,Not at all difficult,5.0,True,,True,True,True
2009017463,2009,Mississippi,Female,25-34,Female 25-34,Some college,Single,Live with spouse/partner,$35k - $50k,Full-time,1,Very difficult,10.0,False,False,True,True,False
2009017464,2009,Maine,Female,25-34,Female 25-34,College graduate,Divorced,Live with spouse/partner,$25k - $35k,Part-time,0,Somewhat difficult,1.0,False,False,True,True,False
2009017465,2009,Rhode Island,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$35k - $50k,Homemaker,3+,Somewhat difficult,1.0,False,False,False,True,True
2009017466,2009,Tennessee,Female,18-24,Female 18-24,College graduate,Single,Live with other family/friends,"< $15,000",Part-time,0,Somewhat difficult,5.0,False,False,False,True,False
2009017467,2009,Colorado,Female,18-24,Female 18-24,Some college,Married,Live with other family/friends,$15k - $25k,Student,0,Not at all difficult,2.0,False,False,True,,False
2009017468,2009,Vermont,Male,25-34,Male 25-34,High school graduate,Married,Live with spouse/partner,$25k - $35k,Unemployed,2,Somewhat difficult,4.0,False,False,False,True,False
2009017469,2009,Mississippi,Female,35-44,Female 35-44,Some college,Married,Live with spouse/partner,$50k - $75k,Homemaker,1,Not at all difficult,2.0,False,True,False,True,False
